Designator,Value,Footprint,Mid X,Mid Y,Rotation,Layer
"C1","1uF","C_0402_1005Metric",124.980000,-105.550000,180.000000,top
"C2","0.1uF","C_0402_1005Metric",125.965000,-110.650000,0.000000,top
"C3","1uF","C_0402_1005Metric",118.491000,-74.826000,90.000000,top
"C4","10uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",147.953700,-104.557500,0.000000,top
"C5","10uF","C_0402_1005Metric",120.332500,-72.811501,90.000000,top
"C6","0.1uF","C_0402_1005Metric",150.700000,-100.000000,90.000000,top
"C7","0.1uF","C_0402_1005Metric",119.062500,-72.811500,90.000000,top
"C8","10uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",146.375200,-95.875001,90.000000,top
"C9","10uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",149.100000,-95.900000,90.000000,top
"J1","Batt","JST_2x1_XH_SM4_TB_P2.54mm",112.762000,-100.267800,270.000000,top
"J2","Mag Door","JST_2x1_XH_SM4_TB_P2.54mm",138.850000,-110.142000,0.000000,top
"L1","2.2uH","Inductor_MWSA0402S",142.450000,-97.500000,90.000000,top
"Q1","Si2312","SOT-23",125.300000,-101.450000,180.000000,top
"Q2","DMG3415U","SOT-23",132.400000,-101.050000,180.000000,top
"R1","10K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",123.425000,-98.650000,0.000000,top
"R2","27k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",119.188199,-86.258400,0.000000,top
"R3","100k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",119.193599,-87.817999,180.000000,top
"R4","10k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",114.032000,-74.168000,0.000000,top
"R5","100k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",128.941799,-111.125600,0.000000,top
"R6","10k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",131.368800,-111.012600,90.000000,top
"R7","100k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",128.941799,-112.700400,0.000000,top
"R8","1M","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",131.225001,-104.200000,0.000000,top
"R9","100","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",147.758200,-102.843000,0.000000,top
"R10","10k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",142.206000,-73.895999,270.000000,top
"R11","10k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",142.200000,-77.325000,90.000000,top
"R11","1M","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",130.575001,-107.000000,0.000000,top
"R12","1M","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",151.400000,-96.100000,270.000000,top
"R13","178k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",151.100000,-103.100000,270.000000,top
"SW1","SW_Push","SMD-Pushbutton-SW-4_5.1x5.1x1.5",120.548400,-109.550800,270.000000,top
"SW2","SW_Push","SMD-Pushbutton-SW-4_5.1x5.1x1.5",113.250000,-89.850000,90.000000,top
"U1","ESP32-WROOM-32D","ESP32-WROOM-32",130.683000,-81.318000,-90.000000,top
"U2","TPL5110","SOT-23-6",126.441200,-108.077600,-90.000000,top
"U3","HDC1080","Texas_PWSON-N6",145.750000,-76.196000,90.000000,top
"U5","TPS63000","Texas_DRC0010J_ThermalVias",147.700000,-100.050000,0.000000,top
